16/09/2016 15:04:48 0.334
16/09/2016 15:04:54 0.384
16/09/2016 15:04:59 0.332
16/09/2016 15:05:06 1.786
16/09/2016 15:05:11 0.332
16/09/2016 15:05:17 0.356
16/09/2016 15:05:22 0.339
16/09/2016 15:05:27 0.319
16/09/2016 15:05:33 0.338
16/09/2016 15:05:38 0.312
16/09/2016 15:05:43 0.334
16/09/2016 15:05:49 0.331
16/09/2016 15:05:54 0.328
16/09/2016 15:05:59 0.335
16/09/2016 15:06:05 0.311
16/09/2016 15:06:10 0.337
16/09/2016 15:06:15 0.296
16/09/2016 15:06:21 0.354
16/09/2016 15:06:26 0.336
16/09/2016 15:06:32 0.333
16/09/2016 15:06:37 0.343
16/09/2016 15:06:42 0.306
16/09/2016 15:06:48 0.340
16/09/2016 15:06:53 0.343
16/09/2016 15:06:58 0.408
16/09/2016 15:07:04 0.343
16/09/2016 15:07:09 0.354
16/09/2016 15:07:14 0.335
16/09/2016 15:07:20 0.330
16/09/2016 15:07:25 0.299
16/09/2016 15:07:30 0.337
16/09/2016 15:07:36 0.337
16/09/2016 15:07:41 0.301
16/09/2016 15:07:47 0.316
16/09/2016 15:07:52 0.359
16/09/2016 15:07:57 0.311
16/09/2016 15:08:03 0.308
16/09/2016 15:08:08 0.343
16/09/2016 15:08:13 0.326
16/09/2016 15:08:19 0.340
16/09/2016 15:08:24 0.374
16/09/2016 15:08:29 0.344
16/09/2016 15:08:35 0.339
16/09/2016 15:08:40 0.361
16/09/2016 15:08:45 0.334
16/09/2016 15:08:51 0.338
16/09/2016 15:08:56 0.357
16/09/2016 15:09:02 0.348
16/09/2016 15:09:07 0.361
16/09/2016 15:09:12 0.352
16/09/2016 15:09:18 0.334
16/09/2016 15:09:23 0.307
16/09/2016 15:09:28 0.332
16/09/2016 15:09:34 0.391
16/09/2016 15:09:39 0.328
16/09/2016 15:09:45 0.380
16/09/2016 15:09:50 0.306
16/09/2016 15:09:55 0.336
16/09/2016 15:10:01 0.339
16/09/2016 15:10:06 0.309
16/09/2016 15:10:11 0.307
16/09/2016 15:10:17 0.338
16/09/2016 15:10:22 0.364
16/09/2016 15:10:29 1.808
16/09/2016 15:10:34 0.376
16/09/2016 15:10:40 0.326
16/09/2016 15:10:45 0.320
16/09/2016 15:10:50 0.343
16/09/2016 15:10:56 0.345
16/09/2016 15:11:01 0.315
16/09/2016 15:11:06 0.332
16/09/2016 15:11:12 0.296
16/09/2016 15:11:17 0.361
16/09/2016 15:11:22 0.348
16/09/2016 15:11:28 0.335
16/09/2016 15:11:33 0.336
16/09/2016 15:11:38 0.332
16/09/2016 15:11:44 0.299
16/09/2016 15:11:49 0.312
16/09/2016 15:11:54 0.322
16/09/2016 15:12:00 0.313
16/09/2016 15:12:05 0.334
16/09/2016 15:12:10 0.318
16/09/2016 15:12:16 0.298
16/09/2016 15:12:21 0.370
16/09/2016 15:12:26 0.301
16/09/2016 15:12:32 0.344
16/09/2016 15:12:37 0.338
16/09/2016 15:12:42 0.311
16/09/2016 15:12:48 0.345
16/09/2016 15:12:53 0.299
16/09/2016 15:12:58 0.302
16/09/2016 15:13:04 0.411
16/09/2016 15:13:09 0.332
16/09/2016 15:13:15 0.338
16/09/2016 15:13:20 0.363
16/09/2016 15:13:25 0.337
16/09/2016 15:13:31 0.336
16/09/2016 15:13:36 0.346
16/09/2016 15:13:41 0.342
16/09/2016 15:13:47 0.334
